user_id,assignments_viewed,assignments_submitted,quiz_started,quiz_submitted,quiz_reviewed,quiz_viewed,forums_viewed,page_views,resources_viewed,quiz_1,quiz_2,assignment,project,final_exam,total_score
415,26,1,2,2,1,34,24,0,3,3,3.53,6,0,0,12.53
420,45,2,3,3,5,110,2,4,1,4.5,2.55,6,15,20.83,48.88
426,12,0,0,0,0,4,13,0,35,0,0,0,0,0,0
427,45,2,3,3,12,144,61,4,31,4,3.73,6,0,35.33,49.06
432,31,2,4,4,16,146,6,0,0,5,4.51,0,18,35.17,62.68
433,11,0,2,2,1,58,60,7,13,5,4.02,0,0,0,9.02
435,57,2,3,3,6,97,51,15,45,2.5,1.37,4,21,27.33,56.21
436,25,1,2,2,3,46,10,2,12,0.5,4.12,1,0,0,5.62
438,17,1,2,2,8,86,14,0,29,0,4.12,0,19,34.67,57.78
441,4,0,0,0,0,1,0,0,12,0,0,0,0,0,0
449,69,2,2,2,2,60,0,0,6,4.5,1.18,5,8,32.67,51.34
450,37,2,2,2,1,46,3,1,36,5,4.12,7,15,26.5,57.62
451,68,1,1,1,0,66,79,7,26,0,2.4,2,0,44,48.4
452,25,2,1,1,0,49,27,0,9,0,3.38,4,11,37.17,55.55
